model,eta_target,grid,variant,label,complete,t_final,t_end,steps,trials,rejected_trials,avg_linear,paper_linear,linear_diff,avg_nonlinear,paper_nonlinear,nonlinear_diff,max_linear,max_nonlinear,peak_step,peak_time,peak_eta,max_eta,min_dt,T_min,T_mean,T_max,guard_factor,linear_tol_factor,mg_smoother,mg_pre_smooths,mg_post_smooths,source,reran,elapsed_sec,checkpoint,failure_reason
M1,0.1,32,baseline,baseline checkpoint,True,5.0,5.0,428,0,0,5.042056074766355,3.05,1.9920560747663556,5.042056074766355,4.05,0.9920560747663556,6,6,23,7.954302432552381e-05,0.049892471040353034,0.10218869769596067,1e-06,1.0,3.6745543989880893,9.780747248320296,,0.003,jacobi,3,3,baseline_checkpoint,False,0.006391900009475648,checkpoints\M1_eta0.1_grid32_methodpicard.npz,
M1,0.1,32,aligned_guard_1p1,jacobi55 + guard1.1,True,5.0,5.0,428,428,0,5.053738317757009,3.05,2.0037383177570094,5.053738317757009,4.05,1.0037383177570094,6,6,23,7.954302432552381e-05,0.049892471040353055,0.10218869769603335,1e-06,1.0,3.6745543989734886,9.780747248320344,1.1,0.003,jacobi,5,5,fresh_or_cached_run,False,0.0031228000298142433,output\m1m2_picard_aligned_probe\checkpoints\M1_eta0.1_grid32_picard_aligned_guard_1p1.npz,
M1,0.1,64,baseline,baseline checkpoint,True,5.0,5.0,552,0,0,5.579710144927536,3.38,2.1997101449275362,5.26268115942029,4.38,0.8826811594202901,9,6,1,1e-06,0.0317729788711913,0.10208759826348962,1e-06,1.0,3.6841104341788222,9.869151272354783,,0.003,jacobi,3,3,baseline_checkpoint,False,0.0014328999677672982,checkpoints\M1_eta0.1_grid64_methodpicard.npz,
M1,0.1,64,aligned_guard_1p1,jacobi55 + guard1.1,True,5.0,5.0,552,552,0,5.268115942028985,3.38,1.8881159420289855,5.268115942028985,4.38,0.8881159420289855,6,6,1,1e-06,0.0317729788711913,0.10208759826352329,1e-06,1.0,3.684110434177917,9.869151272354777,1.1,0.003,jacobi,5,5,fresh_or_cached_run,False,0.0035386000527068973,output\m1m2_picard_aligned_probe\checkpoints\M1_eta0.1_grid64_picard_aligned_guard_1p1.npz,
M1,0.5,32,baseline,baseline checkpoint,True,5.0,5.0,147,0,0,6.578231292517007,3.61,2.968231292517007,6.197278911564626,4.61,1.587278911564626,12,7,83,0.027254206856132713,0.2078308039907425,0.4908331145518765,1e-06,1.0,3.674240666446413,9.780791805036817,,0.003,jacobi,3,3,baseline_checkpoint,False,0.0014927000156603754,checkpoints\M1_eta0.5_grid32_methodpicard.npz,
M1,0.5,32,aligned_guard_1p1,jacobi55 + guard1.1,True,5.0,5.0,147,147,0,6.204081632653061,3.61,2.594081632653061,6.204081632653061,4.61,1.5940816326530607,7,7,82,0.024775642596484283,0.20713645458482968,0.49083311457500867,1e-06,1.0,3.6742406664434806,9.78079180503683,1.1,0.003,jacobi,5,5,fresh_or_cached_run,False,0.0019429000094532967,output\m1m2_picard_aligned_probe\checkpoints\M1_eta0.5_grid32_picard_aligned_guard_1p1.npz,
M1,0.5,64,baseline,baseline checkpoint,True,5.0,5.0,156,0,0,8.217948717948717,4.7,3.517948717948717,6.743589743589744,5.34,1.4035897435897438,14,8,87,0.03990752525806392,0.3546848117914499,0.5017486461378785,1e-06,1.0,3.6838416015426745,9.869177924993068,,0.003,jacobi,3,3,baseline_checkpoint,False,0.0012191000278107822,checkpoints\M1_eta0.5_grid64_methodpicard.npz,
M1,0.5,64,aligned_guard_1p1,jacobi55 + guard1.1,True,5.0,5.0,156,156,0,7.134615384615385,4.7,2.434615384615385,6.743589743589744,5.34,1.4035897435897438,14,8,87,0.03990752525806392,0.3546848117916852,0.5017486461469827,1e-06,1.0,3.6838416015426936,9.869177924993068,1.1,0.003,jacobi,5,5,fresh_or_cached_run,False,0.002043600019533187,output\m1m2_picard_aligned_probe\checkpoints\M1_eta0.5_grid64_picard_aligned_guard_1p1.npz,
M2,0.1,32,baseline,baseline checkpoint,True,0.005,0.005,7006,0,0,8.67270910648016,nan,nan,7.950042820439623,nan,nan,32,10,78,8.225263412723207e-05,0.1220613566152629,0.12267788357077702,2.130413287627478e-07,0.9999999999999999,7.502077638441978,9.540899368018572,,0.003,jacobi,3,3,baseline_checkpoint,False,0.0029941999819129705,checkpoints\M2_eta0.1_grid32_methodpicard.npz,
M2,0.1,32,aligned_guard_1p1,jacobi55 + guard1.1,True,0.005,0.005,7018,7026,8,8.131946423482473,nan,nan,7.951980621259618,nan,nan,24,9,6,7.715610000000002e-06,0.08892023108921182,0.10956080308537998,2.1303435557062616e-07,1.0,7.502076733880299,9.540899123107764,1.1,0.003,jacobi,5,5,fresh_or_cached_run,False,0.028754400031175464,output\m1m2_picard_aligned_probe\checkpoints\M2_eta0.1_grid32_picard_aligned_guard_1p1.npz,
M2,0.5,32,baseline,baseline checkpoint,True,0.005,0.005,1177,0,0,28.030586236193713,nan,nan,15.046728971962617,nan,nan,164,41,26,0.00010005559031295123,0.7892226051399319,0.847273186376117,1e-06,1.0,7.502690495219813,9.541091789743902,,0.003,jacobi,3,3,baseline_checkpoint,False,0.0016317000263370574,checkpoints\M2_eta0.5_grid32_methodpicard.npz,
M2,0.5,32,aligned_guard_1p1,jacobi55 + guard1.1,True,0.005,0.005,1432,1574,142,16.4036312849162,nan,nan,13.681564245810057,nan,nan,63,21,25,9.101688058545747e-05,0.480581122573938,0.5498755451664743,8.335275266360228e-07,1.0,7.5024015082922775,9.541006173016712,1.1,0.003,jacobi,5,5,fresh_or_cached_run,False,0.0074631000170484185,output\m1m2_picard_aligned_probe\checkpoints\M2_eta0.5_grid32_picard_aligned_guard_1p1.npz,
M2,0.5,64,baseline,baseline checkpoint,True,0.005,0.005,2151,0,0,28.90980939098094,nan,nan,15.965132496513249,nan,nan,155,49,18,3.746183830773644e-05,0.8387642393198992,0.8387642393198992,7.36623162825419e-07,1.0,7.701861120724537,9.575681527271607,,0.003,jacobi,3,3,baseline_checkpoint,False,0.0019853999838232994,checkpoints\M2_eta0.5_grid64_methodpicard.npz,
M2,0.5,64,aligned_guard_1p1,jacobi55 + guard1.1,True,0.005,0.005,2488,2676,188,18.214630225080384,nan,nan,14.853295819935692,nan,nan,61,22,58,8.66532919090619e-05,0.5289332851684575,0.5498598028870962,4.0128518150720243e-07,1.0,7.701808444761487,9.575676952153326,1.1,0.003,jacobi,5,5,fresh_or_cached_run,False,0.013498199987225235,output\m1m2_picard_aligned_probe\checkpoints\M2_eta0.5_grid64_picard_aligned_guard_1p1.npz,
